adult,original_language,popularity,runtime,title,vote_average,vote_count,Year,budget,revenue
FALSE,en,36.262655,127,Miss Peregrine's Home for Peculiar Children,6.5,3213,2016,110,296.485719
FALSE,en,10.217291,112,The Girl on the Train,6.2,1837,2016,45,173.185859
FALSE,en,10.222143,92,Middle School: The Worst Years of My Life,6.9,70,2016,8.5,19.985196
FALSE,en,13.465656,128,The Accountant,6.9,2121,2016,44,155.160045
FALSE,en,5.957998,121,God's Not Dead 2,5.6,73,2016,5,23.507567
FALSE,ta,2.017961,150,Kabali,5.9,21,2016,18.7,74
FALSE,hi,1.423358,155,Mohenjo Daro,6.7,26,2016,15.05,16.18
FALSE,en,3.55933,125,A Quiet Passion,7.5,26,2016,8.138338,1.864266
FALSE,en,1.393391,107,Local Color,6.1,8,2006,3.25,0.032788
FALSE,ru,0.594488,112,I'm Staying,5.8,6,2007,1,0.404785
FALSE,ja,9.285519,120,Shin Godzilla,6.6,152,2016,15,77
FALSE,pt,4.860265,140,Aquarius,7.5,97,2016,0.762241,0.28593
FALSE,en,0.52757,110,The Work and the Glory,6.1,7,2004,7.5,3.347647
FALSE,en,0.797014,100,The Work and the Glory II: American Zion,8,6,2005,6.5,2.025032
FALSE,en,0.752508,89,The Work and the Glory III: A House Divided,7.5,2,2006,6.5,1.325092
FALSE,en,0.079856,120,"The Book of Mormon Movie, Volume 1: The Journey",5,2,2003,2,1.67273
FALSE,en,21.037699,140,Hacksaw Ridge,7.8,3294,2016,40,175.302354
FALSE,en,8.009568,113,Billy Lynn's Long Halftime Walk,5.9,158,2016,40,30.930984
FALSE,en,11.901343,90,Blair Witch,4.9,590,2016,5,45.172994
FALSE,en,5.723985,105,The Hollars,6.4,81,2016,3.8,1.016985
FALSE,en,7.977391,123,Loving,6.5,275,2016,9,8.996802
FALSE,en,6.636625,102,31,4.9,193,2016,1.5,0.77982
FALSE,fr,6.165491,120,From the Land of the Moon,6.7,63,2016,10.3,0.047748
FALSE,en,24.483893,108,A Monster Calls,6.8,1023,2016,43,46.652768
FALSE,en,30.83786,113,Arrival,7.2,5729,2016,47,203.388186
FALSE,en,12.687521,87,Storks,6.7,706,2016,70,182.379278
FALSE,zh,3.798504,124,Railroad Tigers,6.2,22,2016,50,102.205175
FALSE,fr,7.321152,66,My Life as a Zucchini,7.7,215,2016,8,0.292279
FALSE,ko,0.460016,87,Musudan,5.5,3,2016,0.0005,0.0005
FALSE,ru,2.981184,110,The Duelist,6,20,2016,12.823507,6.101904
FALSE,en,19.681686,128,La La Land,7.9,4745,2016,30,445.4357
FALSE,en,13.085186,124,Allied,6.6,1415,2016,85,119.520023
FALSE,en,18.311054,121,Inferno,5.7,2316,2016,75,220.021259
FALSE,en,9.48515,105,Keeping Up with the Joneses,5.9,608,2016,40,29.918745
FALSE,en,10.182974,99,Ouija: Origin of Evil,5.8,735,2016,9,81.705746
FALSE,en,16.83711,92,Trolls,6.7,1054,2016,125,346.864462
FALSE,en,6.703892,92,Max Steel,5.1,234,2016,10,6.272403
FALSE,en,10.754997,109,Denial,6.5,161,2016,10,4.073489
